type,title,director,date_added,release_year,rating,duration
Movie,Dick Johnson Is Dead,Kirsten Johnson,"September 25, 2021",2020,PG-13,90 min
TV Show,Blood & Water,,"September 24, 2021",2021,TV-MA,2 Seasons
TV Show,Ganglands,Julien Leclercq,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Jailbirds New Orleans,,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Kota Factory,,"September 24, 2021",2021,TV-MA,2 Seasons
TV Show,Midnight Mass,Mike Flanagan,"September 24, 2021",2021,TV-MA,1 Season
Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","September 24, 2021",2021,PG,91 min
Movie,Sankofa,Haile Gerima,"September 24, 2021",1993,TV-MA,125 min
TV Show,The Great British Baking Show,Andy Devonshire,"September 24, 2021",2021,TV-14,9 Seasons
Movie,The Starling,Theodore Melfi,"September 24, 2021",2021,PG-13,104 min
TV Show,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Bangkok Breaking,Kongkiat Komesiri,"September 23, 2021",2021,TV-MA,1 Season
Movie,Je Suis Karl,Christian Schwochow,"September 23, 2021",2021,TV-MA,127 min
Movie,Confessions of an Invisible Girl,Bruno Garotti,"September 22, 2021",2021,TV-PG,91 min
TV Show,Crime Stories: India Detectives,,"September 22, 2021",2021,TV-MA,1 Season
TV Show,Dear White People,,"September 22, 2021",2021,TV-MA,4 Seasons
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams","September 22, 2021",2020,TV-MA,67 min
TV Show,Falsa identidad,,"September 22, 2021",2020,TV-MA,2 Seasons
Movie,Intrusion,Adam Salky,"September 22, 2021",2021,TV-14,94 min
TV Show,Jaguar,,"September 22, 2021",2021,TV-MA,1 Season
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,"September 22, 2021",2021,TV-14,1 Season
TV Show,Resurrection: Ertugrul,,"September 22, 2021",2018,TV-14,5 Seasons
Movie,Avvai Shanmughi,K.S. Ravikumar,"September 21, 2021",1996,TV-PG,161 min
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","September 21, 2021",2021,TV-Y,61 min
Movie,Jeans,S. Shankar,"September 21, 2021",1998,TV-14,166 min
TV Show,Love on the Spectrum,,"September 21, 2021",2021,TV-14,2 Seasons
Movie,Minsara Kanavu,Rajiv Menon,"September 21, 2021",1997,TV-PG,147 min
Movie,Grown Ups,Dennis Dugan,"September 20, 2021",2010,PG-13,103 min
Movie,Dark Skies,Scott Stewart,"September 19, 2021",2013,PG-13,97 min
Movie,Paranoia,Robert Luketic,"September 19, 2021",2013,PG-13,106 min
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","September 17, 2021",2021,TV-14,111 min
TV Show,Chicago Party Aunt,,"September 17, 2021",2021,TV-MA,1 Season
TV Show,Sex Education,,"September 17, 2021",2020,TV-MA,3 Seasons
TV Show,Squid Game,,"September 17, 2021",2021,TV-MA,1 Season
TV Show,Tayo and Little Wizards,,"September 17, 2021",2020,TV-Y7,1 Season
Movie,The Father Who Moves Mountains,Daniel Sandu,"September 17, 2021",2021,TV-MA,110 min
